"Date","Price","Open","High","Low","Vol.","Change %"
"04/07/2026","119.26","121.01","121.01","118.64","0.14K","0.15%"
"04/06/2026","119.08","118.00","119.08","117.10","0.29K","3.69%"
"04/02/2026","114.84","112.27","114.84","112.23","0.47K","10.82%"
"04/01/2026","103.63","104.13","105.20","102.92","0.68K","-2.98%"
"03/31/2026","106.81","109.30","109.50","106.81","0.12K","-3.58%"
"03/30/2026","110.78","112.71","112.71","110.74","0.22K","1.10%"
"03/27/2026","109.58","107.15","109.96","107.15","0.13K","4.04%"
"03/26/2026","105.32","104.60","105.32","103.00","0.26K","5.49%"
"03/25/2026","99.84","103.00","103.67","95.39","0.36K","-16.72%"
"03/24/2026","119.88","143.09","143.09","112.25","0.52K","-11.31%"
"03/23/2026","135.17","160.50","160.50","135.17","0.29K","-7.67%"
"03/20/2026","146.40","125.08","147.80","125.08","1.82K","18.00%"
"03/19/2026","124.07","126.29","128.84","123.11","0.47K","6.25%"
"03/18/2026","116.77","112.33","122.48","112.25","0.95K","5.26%"
"03/17/2026","110.93","108.45","114.50","108.04","0.95K","3.94%"
"03/16/2026","106.72","116.60","117.45","106.24","1.30K","-6.68%"
"03/13/2026","114.36","123.61","123.65","111.62","0.74K","-2.82%"
"03/12/2026","117.68","105.41","121.50","105.19","1.24K","16.87%"
"03/11/2026","100.69","99.57","100.69","95.09","1.38K","1.12%"
"03/10/2026","99.57","102.48","103.59","94.15","3.24K","-9.62%"
"03/09/2026","110.17","112.90","123.40","106.54","1.28K","6.71%"
"03/06/2026","103.24","93.63","103.24","93.63","4.16K","9.24%"
"03/05/2026","94.51","84.64","95.02","84.64","10.52K","15.98%"
"03/04/2026","81.49","81.28","85.74","81.13","9.37K","1.89%"
"03/03/2026","79.98","79.45","84.53","77.45","10.53K","1.82%"
"03/02/2026","78.55","81.19","83.03","77.53","7.13K","5.81%"
